Year,sex,hell,fuck,shit,ass,bitch,cunt,dick,slut,pussy,crap,cock,penis,bussy,motherfucker,hoe,whore,munch
1990,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,4,4,0,1,1,1,0,1,0,1,0,2,0,0,0,0,0,0
1993,0,0,7,8,8,1,0,1,0,0,0,0,0,0,1,0,0,0
1994,0,8,11,10,18,13,0,0,0,0,1,0,0,0,3,0,0,0
1995,3,4,4,6,1,3,0,32,0,0,0,0,0,0,0,0,0,0
1996,7,10,42,6,2,6,0,3,0,2,0,1,0,0,2,0,0,0
1997,10,6,7,12,5,2,0,1,0,0,1,0,0,0,0,0,0,0
1998,18,1,19,19,5,6,0,5,0,0,0,0,0,0,0,0,0,0
1999,0,4,14,4,1,3,0,3,0,1,0,1,0,0,1,1,0,0
2000,0,1,22,10,15,3,0,6,0,3,0,1,0,0,4,0,0,0
2001,2,6,11,21,14,5,0,4,0,4,0,0,0,0,0,0,0,0
2002,11,0,21,32,18,7,0,3,0,1,0,1,0,0,0,0,0,0
2003,2,11,31,30,33,24,0,3,1,6,0,2,0,0,12,2,0,0
2004,4,20,32,44,41,58,0,7,0,8,0,2,0,0,10,2,1,0
2005,13,10,17,44,44,9,0,22,0,41,1,0,0,0,11,1,0,0
2006,3,6,16,24,53,24,0,6,2,7,0,1,1,0,0,0,0,0
2007,7,13,9,15,19,14,0,1,0,1,0,2,1,0,2,0,0,0
2008,2,9,9,21,15,14,0,6,0,5,0,0,0,0,1,1,0,0
2009,8,22,30,31,13,2,0,3,0,4,0,0,0,0,1,0,0,0
2010,2,7,17,39,11,31,0,4,0,2,2,0,0,0,7,0,0,0
2011,7,9,28,25,15,8,0,5,0,5,0,0,0,0,1,0,0,0
2012,0,5,20,44,12,49,0,2,0,3,0,0,0,0,1,0,0,0
2013,6,10,35,31,7,20,0,3,0,1,0,0,0,0,4,0,0,0
2014,5,2,30,20,16,33,0,4,0,8,0,0,1,0,0,1,0,0
2015,6,11,44,24,27,35,0,4,0,4,0,0,0,0,1,0,0,0
2016,5,6,58,29,6,34,0,6,0,8,0,3,0,0,1,0,0,0
2017,0,4,112,39,17,69,0,9,0,16,0,1,0,0,0,0,0,0
2018,1,2,105,74,19,85,0,10,0,28,0,0,0,0,3,0,2,0
2019,6,4,81,98,41,66,0,20,0,19,0,0,0,0,0,0,0,0
2020,3,14,93,78,27,59,0,6,0,31,0,0,0,0,3,0,0,0
2021,3,14,64,102,21,44,0,7,0,15,0,0,0,0,1,0,0,0
2022,6,14,47,39,19,25,0,17,0,15,0,0,0,0,0,0,0,0
